client_id,clnt_tenure_yr,clnt_age,gendr,Variation
109465,5,28,U,Control
109662,17,55,M,Test
109859,28,68,F,Control
109932,12,44,M,Control
110028,16,63,M,Test
110212,21,55,F,Test
110288,5,47,U,Test
110772,6,56,U,Test
110890,22,83,F,Control
111012,8,30,U,Control
111162,5,33,M,Test
111304,8,34,U,Control
111477,20,55,F,Control
112128,10,28,U,Control
112766,4,37,U,Test
113597,9,31,F,Test
113852,8,26,M,Test
113903,14,69,F,Test
113951,12,65,F,Test
113964,12,53,M,Test
114459,22,49,U,Control
114541,11,35,M,Control
114542,22,27,M,Test
114566,17,50,M,Control
114780,7,28,U,Control
115163,17,39,M,Test
115570,12,26,F,Test
115597,16,54,M,Control
115834,6,43,U,Control
115839,15,52,F,Test
115973,9,31,M,Control
116248,21,43,M,Test
116345,14,52,F,Control
116384,4,32,U,Test
116505,4,25,U,Control
116682,11,45,F,Control
116693,4,61,U,Control
117032,10,60,M,Test
117276,5,72,U,Test
117320,13,58,F,Control
117457,6,27,U,Test
117520,7,27,U,Test
117621,14,35,M,Control
117883,29,63,M,Control
117916,6,29,U,Test
117979,7,68,U,Control
118358,26,72,M,Control
118415,29,57,M,Control
118446,4,56,F,Test
118576,15,50,M,Test
118723,29,74,F,Control
118964,17,22,U,Control
118966,6,63,U,Test
119006,6,25,U,Test
119599,5,33,U,Test
119634,13,35,U,Test
120089,14,43,F,Test
120309,16,65,F,Control
120351,4,30,U,Test
120660,9,73,M,Test
120830,21,53,F,Test
120872,15,65,M,Control
121029,5,66,U,Test
121238,7,30,U,Test
121354,5,31,U,Test
121536,15,83,M,Test
121672,13,40,F,Test
122093,8,59,M,Test
122493,6,57,F,Control
122526,14,34,M,Test
122790,8,38,U,Test
123141,10,23,M,Control
123311,5,42,U,Test
123552,20,47,M,Control
123853,15,53,F,Test
124118,7,49,U,Control
124572,15,52,M,Control
124614,21,51,M,Test
124624,5,27,U,Control
124646,10,40,F,Test
124916,4,26,M,Control
125022,7,46,U,Control
125124,16,73,F,Test
125273,15,60,F,Control
125305,11,34,M,Control
125679,4,23,U,Control
125750,6,40,U,Test
126090,23,73,M,Control
126171,15,73,F,Control
126259,15,57,F,Test
126285,15,49,F,Control
126288,23,57,U,Test
126309,5,43,U,Control
126524,19,52,M,Test
126758,16,43,F,Test
126759,14,22,M,Control
126853,8,58,F,Test
126893,35,73,F,Control
127331,7,56,U,Test
127396,23,57,F,Test
127477,11,67,F,Control
127825,7,47,U,Test
127921,5,25,U,Test
128147,9,26,M,Control
128230,6,68,U,Test
128801,9,73,M,Control
128919,14,37,F,Test
128983,16,35,F,Control
129549,5,70,U,Control
129659,15,68,M,Control
130031,17,54,F,Control
130452,25,32,F,Test
130952,14,46,M,Test
131064,8,28,F,Control
131973,23,49,M,Test
132547,8,55,F,Control
133096,8,44,U,Test
133101,6,33,U,Control
133340,13,50,F,Test
133394,6,31,U,Test
133471,6,34,U,Control
133487,27,64,M,Control
133522,3,58,U,Control
133565,6,30,U,Control
133631,14,28,F,Control
133742,13,66,F,Test
133779,13,69,M,Test
134164,4,40,U,Test
134207,6,57,U,Control
134282,12,96,F,Test
134286,9,69,M,Control
134582,11,53,F,Control
134657,8,51,F,Control
134829,7,62,F,Control
135199,4,32,U,Control
135254,16,62,F,Test
135842,21,34,M,Control
135917,9,37,M,Test
135969,26,83,F,Test
136138,4,26,M,Control
136237,12,51,M,Control
136873,5,44,U,Test
136978,9,65,M,Test
136986,12,38,F,Control
137016,14,47,M,Test
137061,15,32,M,Test
137412,20,68,F,Test
137555,5,30,U,Test
137781,11,53,M,Test
137816,7,25,F,Test
137933,10,40,F,Test
138002,11,37,M,Test
138093,14,56,F,Control
138395,15,70,F,Control
138686,23,61,F,Control
138741,16,55,M,Test
138790,6,34,F,Test
139079,9,60,M,Control
139808,15,70,M,Test
139872,7,27,U,Test
139979,9,51,M,Test
139996,4,33,U,Test
140020,23,58,F,Test
140116,20,49,M,Control
140488,7,20,U,Control
140489,5,22,U,Control
140683,16,50,F,Test
140690,17,35,M,Control
141417,11,39,F,Test
141591,11,74,M,Control
141602,4,25,U,Control
141643,14,31,M,Test
142351,17,57,M,Test
142579,10,38,F,Control
142667,16,69,M,Control
142695,7,63,U,Test
142725,7,67,U,Control
143218,8,31,M,Control
143267,4,18,U,Test
143271,6,51,U,Test
143610,5,46,U,Control
143688,7,47,U,Control
143691,12,60,F,Control
144169,9,29,M,Control
144244,14,49,M,Control
144678,5,47,U,Control
144773,7,29,U,Control
145106,4,61,U,Test
145810,18,65,M,Test
146072,26,60,F,Test
146205,29,33,M,Control
146317,21,49,F,Control
146390,14,35,F,Test
146579,19,27,M,Test
146603,6,31,U,Control
147033,8,42,U,Control
147077,15,80,M,Control
147316,15,66,M,Control
147852,24,66,F,Test
148037,21,72,M,Control
148076,15,65,M,Control
148099,5,30,U,Control
148217,13,42,M,Test
148347,16,61,F,Test
148369,22,49,F,Test
148391,8,65,U,Test
148445,9,64,M,Control
148448,5,71,U,Test
148850,4,32,M,Test
148954,13,60,F,Control
149108,5,28,U,Test
149192,22,70,M,Test
149265,6,24,F,Test
149593,6,30,U,Control
149635,22,48,M,Test
149685,6,45,U,Control
150095,8,27,M,Test
151250,23,57,M,Test
151444,7,31,U,Control
151897,33,59,M,Test
152356,4,44,U,Control
152661,5,26,U,Test
153841,6,30,F,Control
154143,6,39,U,Test
154147,33,66,F,Test
154150,19,40,F,Control
154458,6,42,U,Control
154640,15,39,F,Control
154658,11,48,U,Control
154782,6,66,F,Test
154809,27,66,M,Test
155526,21,67,M,Control
156105,21,52,U,Test
156894,5,69,U,Control
156945,28,66,F,Control
157106,5,28,F,Test
157209,4,64,M,Test
157852,23,59,F,Control
157871,15,35,M,Control
158047,18,56,M,Test
158141,13,67,M,Test
158201,4,64,F,Test
159268,22,62,M,Control
159558,12,61,U,Test
159617,12,44,M,Control
159687,28,57,U,Test
159728,13,52,F,Test
159823,5,66,M,Control
159875,4,59,M,Test
159908,5,64,U,Test
159970,5,34,U,Test
160085,19,57,M,Control
160144,16,71,F,Test
160466,20,55,M,Control
160616,9,50,M,Control
160654,20,54,F,Test
160741,4,22,U,Test
160938,13,62,U,Control
161074,4,23,F,Control
161108,13,40,F,Control
161127,14,49,F,Control
161440,16,35,F,Test
161491,13,43,M,Control
161771,6,37,U,Test
161792,7,64,F,Control
162127,9,55,M,Test
162388,20,25,F,Test
162575,20,46,M,Control
162867,5,43,F,Test
162894,6,29,U,Test
163907,7,68,U,Test
164324,5,25,F,Test
165301,6,68,U,Control
165428,8,52,M,Control
165765,6,29,U,Test
165890,5,50,U,Control
165900,5,63,U,Test
166017,5,62,U,Test
166154,15,63,F,Test
166289,11,75,M,Control
166315,14,66,U,Test
166702,21,30,F,Control
166715,5,68,U,Control
167496,7,59,F,Control
168266,23,57,M,Test
168539,4,18,U,Test
168727,11,30,F,Control
168940,8,31,U,Control
168989,12,61,F,Test
169185,7,34,U,Test
169560,11,46,M,Test
169620,21,50,M,Test
169784,6,25,U,Test
170383,6,26,U,Test
170462,18,61,F,Test
170507,24,68,M,Control
170660,4,23,U,Control
170798,21,49,M,Test
170865,6,33,U,Control
170895,4,50,M,Control
170896,17,67,F,Control
171096,27,60,F,Test
171484,17,45,U,Test
171492,15,74,M,Test
171583,15,44,F,Test
171597,6,64,U,Test
171971,9,24,M,Test
172422,11,66,F,Test
172858,4,31,U,Test
173084,9,25,M,Control
173122,15,44,F,Control
173784,5,38,U,Control
174238,15,42,M,Test
174244,13,37,M,Test
174360,14,30,F,Control
174800,12,52,F,Control
174806,3,33,U,Control
175033,5,42,U,Control
175128,7,49,U,Control
175196,5,19,U,Control
175625,7,46,U,Test
175752,33,70,F,Test
175784,26,77,M,Control
175907,13,42,F,Test
176114,4,31,U,Test
176808,5,50,F,Control
176963,6,31,U,Test
176966,6,53,U,Test
177581,30,48,F,Control
177765,10,31,M,Test
177876,6,20,U,Control
177990,5,21,U,Control
178125,5,33,F,Test
178214,7,46,U,Test
178493,16,63,F,Control
178853,5,52,F,Control
179027,7,35,U,Control
179076,15,40,F,Control
179119,4,54,U,Test
179358,15,53,M,Test
179489,16,43,F,Control
179667,16,67,F,Test
180142,4,54,U,Control
180381,9,52,F,Control
180404,11,27,M,Control
180425,8,26,U,Test
180953,28,62,M,Control
181125,30,64,F,Test
181254,7,56,M,Test
182074,11,37,F,Test
182574,6,44,U,Control
182575,27,69,M,Control
182591,19,73,F,Control
182739,12,63,M,Test
183077,23,36,M,Test
183287,4,26,U,Control
183399,5,54,M,Control
183713,24,51,M,Control
183720,10,28,M,Test
183855,12,37,M,Control
184127,5,45,U,Test
184211,5,25,U,Control
184216,13,51,F,Test
184396,7,71,U,Test
184701,6,34,U,Test
184963,5,31,U,Control
185096,4,31,U,Test
185553,5,67,U,Control
185675,19,69,F,Test
185881,11,46,F,Control
185963,27,55,F,Test
186246,12,56,F,Control
186550,14,45,M,Test
186612,5,45,U,Control
186857,9,60,F,Test
187308,10,60,M,Test
187326,18,59,M,Test
187498,14,37,M,Test
187547,14,57,F,Test
187837,13,39,F,Control
187901,11,66,M,Control
187902,8,53,F,Test
188427,8,55,U,Control
188807,5,68,F,Control
189053,8,68,M,Control
189267,21,54,F,Control
189299,27,61,F,Control
189571,15,37,F,Control
189572,13,42,M,Test
190001,5,56,U,Test
190197,15,72,M,Control
190246,11,43,M,Test
190580,7,73,U,Test
190598,5,36,U,Test
191300,21,64,M,Test
191373,13,66,F,Control
191619,7,34,U,Test
191749,20,53,F,Control
191877,5,59,U,Test
192049,13,30,M,Test
192160,27,71,U,Test
192386,5,74,U,Test
192518,23,49,M,Test
192577,9,42,M,Test
192654,27,58,F,Test
192775,6,52,M,Test
193054,16,47,F,Control
193111,8,40,F,Test
193303,14,46,M,Test
193305,14,56,F,Test
193457,5,62,U,Test
193613,17,40,F,Control
193835,27,85,F,Control
194066,15,50,F,Test
194329,17,56,M,Control
194470,10,31,F,Test
194686,9,69,M,Control
194784,5,22,U,Test
194816,7,50,U,Test
195080,9,34,M,Test
195166,22,39,M,Test
195310,10,50,F,Control
195446,8,27,U,Control
195455,5,67,M,Test
195655,6,21,U,Test
195714,22,60,F,Control
196053,13,33,U,Control
196103,6,31,U,Control
196286,16,65,M,Control
196531,16,55,U,Test
196635,6,20,U,Test
196675,6,64,M,Control
196865,12,46,U,Control
196988,15,40,M,Test
197335,11,52,F,Control
197374,12,36,U,Test
197518,8,53,F,Control
197560,6,42,U,Test
197793,5,31,U,Test
197955,17,67,M,Control
198652,21,37,M,Test
198773,17,52,M,Control
198857,14,36,M,Control
198932,14,38,F,Control
198935,4,66,U,Test
199386,10,49,U,Test
200308,5,24,M,Test
200352,34,72,U,Control
200372,28,64,F,Control
200598,6,49,U,Test
200604,8,63,U,Control
200648,15,59,F,Test
200698,13,32,M,Test
200707,2,51,U,Test
201225,10,38,M,Control
201392,21,67,M,Control
201394,21,26,F,Test
201447,13,49,F,Test
201641,21,66,M,Test
201846,11,31,F,Test
201909,11,66,M,Test
202371,51,61,F,Test
202856,23,50,U,Control
202865,21,21,M,Control
202925,4,66,U,Control
202973,13,34,F,Test
203027,22,60,M,Test
203223,24,61,M,Test
203427,19,85,M,Control
203500,15,50,M,Test
203702,13,39,F,Control
203797,6,57,F,Test
204212,13,39,F,Control
204361,11,34,M,Control
204445,20,50,U,Test
204496,19,23,M,Control
204784,5,34,U,Test
204888,7,57,U,Test
205273,5,31,U,Test
205429,6,20,U,Test
205563,15,67,F,Test
206428,18,50,M,Test
206829,5,59,U,Control
206871,7,27,U,Test
207109,18,60,F,Test
207261,20,63,F,Test
207299,25,48,F,Control
207387,34,75,F,Test
207416,4,38,M,Control
207455,14,33,M,Test
207721,25,27,M,Control
208156,21,72,M,Test
208237,7,34,U,Control
208307,20,61,M,Control
208505,28,48,M,Test
208525,15,51,M,Test
208722,6,57,U,Control
208784,11,61,F,Test
209090,13,38,F,Control
209099,10,57,M,Test
209462,6,37,U,Test
209511,4,37,U,Control
209532,15,69,F,Control
210140,8,45,F,Test
210141,16,82,M,Test
210180,4,39,U,Test
210347,15,61,F,Control
210473,6,46,F,Control
210667,6,62,F,Test
211023,13,59,F,Test
211380,8,67,U,Test
211694,13,30,F,Test
211709,6,36,U,Control
211786,15,35,F,Control
212071,16,41,F,Control
212654,6,30,U,Test
213006,16,35,M,Test
213870,7,53,U,Control
214083,16,35,M,Test
214594,5,27,U,Control
214667,6,35,U,Test
214786,5,64,U,Control
214944,6,43,M,Control
214998,21,45,F,Control
215411,22,56,M,Test
215661,6,52,U,Test
215880,8,40,U,Control
216445,10,56,F,Control
217308,12,34,M,Test
217500,12,34,M,Control
217547,7,32,M,Test
217761,4,22,U,Test
217950,10,39,F,Test
218589,11,69,M,Test
218777,5,24,U,Test
218903,8,61,F,Control
219038,16,45,F,Test
219207,17,77,M,Test
219230,11,39,F,Control
219306,4,24,U,Control
219592,3,46,U,Test
219851,5,27,U,Control
219882,15,38,M,Test
219909,9,29,F,Test
220061,11,41,F,Test
220394,5,28,U,Control
220594,7,51,U,Test
220644,6,63,U,Control
220901,5,59,M,Control
221092,4,37,U,Test
221296,19,37,M,Test
221354,12,67,F,Control
221385,4,31,U,Test
221558,6,32,U,Control
221734,5,57,U,Control
221775,21,58,F,Control
221779,9,37,M,Test
222111,6,27,U,Test
222315,10,32,M,Control
222726,14,42,F,Control
222973,20,56,U,Test
223224,5,31,M,Control
223802,21,44,F,Test
224102,16,65,F,Control
224773,7,77,U,Test
225062,9,38,U,Control
225103,7,33,U,Control
225368,12,31,F,Control
225675,21,47,F,Control
225928,15,33,M,Control
226198,10,30,M,Test
226234,4,47,F,Control
226403,10,40,F,Control
226818,7,24,U,Test
226840,10,41,M,Control
226853,5,47,M,Test
227083,29,52,F,Control
227588,9,35,M,Test
227610,7,28,U,Test
227629,23,55,F,Control
227631,8,74,U,Test
227805,18,37,U,Test
228465,21,56,F,Test
