client_id,variation,process_step,date_time
11040,Test,confirm,"2017-03-29 12:14:04"
11070,Control,confirm,"2017-04-06 15:23:25"
11122,Control,confirm,"2017-04-20 21:30:43"
11309,Test,confirm,"2017-04-02 16:14:39"
12785,Test,confirm,"2017-04-25 15:43:12"
13009,Control,confirm,"2017-03-29 12:10:34"
13735,Test,confirm,"2017-04-12 16:50:13"
13831,Control,start,"2017-03-30 15:36:20"
14690,Test,start,"2017-04-01 20:29:22"
14775,Control,start,"2017-04-12 12:05:46"
15050,Test,confirm,"2017-04-25 09:15:13"
15189,Test,confirm,"2017-04-12 22:50:19"
15807,Test,start,"2017-03-30 17:42:09"
16095,Control,step_3,"2017-04-08 08:23:36"
16098,Test,confirm,"2017-04-05 11:14:42"
16135,Control,step_1,"2017-04-10 19:27:49"
16549,Control,start,"2017-03-30 08:55:11"
16679,Control,step_2,"2017-03-22 19:19:39"
16747,Control,confirm,"2017-04-21 08:01:32"
17008,Control,confirm,"2017-04-17 12:22:43"
17036,Control,confirm,"2017-04-09 16:54:41"
17160,Control,step_1,"2017-03-29 11:31:00"
17318,Test,start,"2017-03-31 21:22:18"
17404,Test,confirm,"2017-04-09 20:38:32"
19060,Test,start,"2017-04-05 13:06:42"
19613,Control,start,"2017-03-31 10:32:05"
19782,Control,confirm,"2017-03-29 11:53:17"
19832,Control,confirm,"2017-04-23 17:20:38"
20185,Test,step_3,"2017-04-24 16:29:21"
20537,Control,confirm,"2017-03-29 18:57:51"
20564,Test,confirm,"2017-04-11 20:13:09"
20643,Test,confirm,"2017-03-29 11:44:06"
20898,Control,start,"2017-04-06 07:00:40"
21200,Test,start,"2017-03-20 15:19:59"
21242,Control,confirm,"2017-04-23 14:42:12"
21281,Test,confirm,"2017-04-13 13:48:01"
21353,Control,confirm,"2017-04-06 07:03:13"
21403,Test,start,"2017-04-05 20:06:36"
21498,Control,step_3,"2017-04-05 15:55:39"
21522,Test,start,"2017-04-08 07:44:09"
21719,Control,step_3,"2017-04-12 11:11:00"
21940,Control,confirm,"2017-04-19 16:08:10"
21970,Control,step_1,"2017-04-09 19:37:26"
22007,Test,confirm,"2017-04-17 10:41:40"
22793,Test,step_2,"2017-03-29 11:37:54"
22885,Control,step_3,"2017-04-24 13:17:52"
23276,Control,confirm,"2017-03-29 17:47:34"
23864,Control,confirm,"2017-04-11 17:31:11"
24443,Test,step_1,"2017-04-05 11:37:59"
24572,Test,confirm,"2017-04-05 11:11:49"
24703,Test,confirm,"2017-04-05 17:42:51"
24841,Test,confirm,"2017-04-03 14:59:07"
25022,Test,confirm,"2017-04-07 21:00:26"
25026,Test,confirm,"2017-04-19 11:33:02"
25043,Control,confirm,"2017-04-05 18:48:17"
25766,Control,confirm,"2017-03-29 15:58:32"
26036,Test,confirm,"2017-03-29 11:10:40"
26211,Control,confirm,"2017-04-08 19:33:47"
26286,Control,step_1,"2017-04-12 18:29:06"
26696,Test,start,"2017-03-28 22:53:19"
27021,Control,step_3,"2017-03-22 11:18:29"
27075,Test,confirm,"2017-04-12 16:42:30"
27241,Control,start,"2017-03-29 11:23:46"
27907,Test,confirm,"2017-04-12 16:42:59"
27988,Control,step_2,"2017-04-07 17:28:52"
28241,Test,confirm,"2017-04-01 02:31:36"
28371,Test,step_2,"2017-04-05 20:07:47"
28845,Control,confirm,"2017-04-12 22:46:01"
28857,Control,start,"2017-04-13 20:00:08"
29227,Test,start,"2017-04-05 19:12:08"
29527,Test,confirm,"2017-04-07 10:56:52"
30318,Test,start,"2017-04-03 06:27:03"
30462,Test,start,"2017-04-05 08:41:02"
30493,Test,confirm,"2017-04-02 20:41:22"
31264,Control,start,"2017-04-27 17:43:59"
31336,Test,confirm,"2017-04-04 13:44:40"
31404,Test,confirm,"2017-04-05 18:32:23"
31502,Control,confirm,"2017-03-30 21:05:02"
31597,Test,start,"2017-04-10 19:09:52"
31715,Control,confirm,"2017-04-12 20:40:08"
31766,Test,step_1,"2017-04-05 14:04:41"
32197,Control,confirm,"2017-03-29 11:59:45"
32305,Control,step_1,"2017-03-30 16:59:06"
32521,Test,confirm,"2017-04-09 12:54:08"
32746,Test,confirm,"2017-03-29 12:06:30"
32859,Control,step_3,"2017-03-29 21:06:40"
33265,Test,confirm,"2017-04-04 20:39:41"
33463,Control,confirm,"2017-04-20 19:19:38"
33472,Test,confirm,"2017-04-02 01:06:06"
33752,Test,confirm,"2017-04-04 19:22:04"
34067,Control,confirm,"2017-03-29 12:11:46"
34101,Test,start,"2017-04-18 22:56:22"
34267,Control,confirm,"2017-04-05 11:36:48"
34501,Control,start,"2017-04-05 13:25:06"
34603,Control,confirm,"2017-03-30 13:37:57"
34608,Test,step_1,"2017-04-08 13:44:35"
35087,Control,step_2,"2017-04-07 13:33:47"
35138,Test,confirm,"2017-04-12 15:36:34"
35181,Test,step_1,"2017-04-05 12:41:26"
35257,Control,confirm,"2017-04-07 12:35:36"
35346,Control,confirm,"2017-04-12 13:35:56"
35417,Control,confirm,"2017-04-06 09:07:59"
35476,Test,start,"2017-03-29 13:15:09"
35922,Test,step_3,"2017-03-15 12:21:39"
36109,Control,step_1,"2017-04-03 23:14:46"
36342,Test,confirm,"2017-04-19 11:14:15"
36430,Test,confirm,"2017-04-03 08:45:54"
36432,Test,start,"2017-04-20 18:26:01"
36555,Test,start,"2017-04-05 11:56:23"
36986,Test,step_1,"2017-04-12 14:47:40"
37064,Control,confirm,"2017-04-06 08:00:22"
37295,Control,confirm,"2017-04-30 21:36:24"
37408,Control,confirm,"2017-04-19 12:21:35"
37423,Test,step_1,"2017-04-05 23:33:02"
37691,Test,start,"2017-04-09 10:20:35"
37705,Test,confirm,"2017-04-24 04:44:18"
37897,Test,confirm,"2017-04-25 13:47:48"
38275,Test,start,"2017-04-17 18:43:58"
38283,Test,confirm,"2017-03-29 11:10:05"
38340,Test,confirm,"2017-03-29 11:39:58"
38551,Test,confirm,"2017-04-05 14:27:51"
38775,Test,start,"2017-04-13 10:13:14"
38930,Control,confirm,"2017-03-30 11:00:01"
38963,Control,confirm,"2017-04-05 16:32:32"
39075,Control,confirm,"2017-04-18 16:11:48"
39566,Test,start,"2017-04-17 15:42:47"
40283,Test,start,"2017-04-14 19:49:04"
40439,Test,confirm,"2017-04-13 08:57:36"
40969,Test,start,"2017-04-10 09:30:52"
41122,Test,confirm,"2017-03-29 22:23:52"
41142,Test,step_1,"2017-04-04 11:46:13"
41199,Test,confirm,"2017-04-23 12:23:02"
41924,Test,start,"2017-03-19 23:27:27"
42296,Control,step_1,"2017-04-26 11:37:41"
42349,Test,confirm,"2017-03-30 09:00:49"
42725,Test,confirm,"2017-04-12 11:43:41"
43645,Test,confirm,"2017-04-14 08:14:19"
44060,Control,confirm,"2017-04-07 18:02:28"
44860,Control,confirm,"2017-04-19 13:12:07"
44995,Test,step_1,"2017-04-05 11:24:56"
45232,Test,start,"2017-04-02 13:35:40"
45485,Test,confirm,"2017-04-05 16:17:49"
45510,Test,start,"2017-04-13 21:25:40"
46790,Test,start,"2017-04-17 20:18:05"
47402,Control,start,"2017-04-05 18:58:34"
47571,Control,confirm,"2017-03-29 12:29:13"
47933,Control,confirm,"2017-04-03 22:13:31"
48431,Control,confirm,"2017-03-29 11:31:21"
48448,Test,confirm,"2017-04-03 21:02:07"
48724,Test,confirm,"2017-04-19 13:03:53"
49412,Control,confirm,"2017-04-05 23:11:18"
49450,Control,confirm,"2017-04-09 14:12:11"
49709,Test,confirm,"2017-04-07 15:26:09"
49998,Test,step_1,"2017-03-29 13:52:53"
50053,Test,confirm,"2017-03-29 11:37:31"
50090,Test,confirm,"2017-03-30 17:43:01"
50271,Control,confirm,"2017-03-29 12:37:10"
50325,Test,confirm,"2017-03-30 09:57:31"
50692,Control,start,"2017-04-02 14:01:08"
51814,Control,confirm,"2017-04-05 13:14:41"
52111,Control,step_3,"2017-04-12 13:07:07"
52456,Control,step_1,"2017-04-03 09:21:27"
52743,Test,confirm,"2017-04-12 11:26:48"
52765,Control,confirm,"2017-04-12 11:15:45"
53094,Control,confirm,"2017-04-06 13:00:44"
53123,Control,confirm,"2017-04-19 11:32:23"
53126,Control,confirm,"2017-04-01 16:36:29"
53396,Test,confirm,"2017-03-29 18:15:19"
53990,Control,step_3,"2017-03-29 12:19:20"
54231,Test,confirm,"2017-04-13 12:25:02"
54291,Control,confirm,"2017-04-10 19:12:48"
54363,Control,confirm,"2017-03-29 15:33:10"
54477,Control,start,"2017-04-07 17:54:47"
55059,Test,confirm,"2017-04-05 11:15:44"
55265,Test,confirm,"2017-04-08 15:15:15"
55333,Test,confirm,"2017-04-05 11:20:13"
55448,Control,step_1,"2017-04-02 19:15:11"
55951,Test,start,"2017-04-11 16:25:15"
56570,Test,start,"2017-03-30 17:50:39"
56923,Test,confirm,"2017-04-19 13:20:46"
58001,Control,confirm,"2017-04-05 14:20:45"
58194,Test,confirm,"2017-04-06 01:46:21"
58196,Control,start,"2017-04-06 11:55:01"
58589,Control,step_3,"2017-04-19 13:15:14"
58676,Control,confirm,"2017-03-29 20:05:19"
58962,Test,confirm,"2017-04-12 13:47:59"
59152,Test,confirm,"2017-04-14 14:33:52"
59360,Test,confirm,"2017-04-19 01:35:35"
59605,Control,step_1,"2017-04-14 14:36:07"
59782,Control,confirm,"2017-04-07 12:28:18"
59802,Test,confirm,"2017-04-09 13:23:27"
60101,Test,confirm,"2017-04-20 16:42:43"
60483,Test,confirm,"2017-04-05 13:17:09"
60802,Test,step_1,"2017-03-27 23:28:30"
60958,Test,start,"2017-04-04 10:15:14"
61007,Test,start,"2017-04-18 20:49:09"
61487,Test,confirm,"2017-04-06 15:53:12"
61961,Test,confirm,"2017-03-29 12:17:35"
62058,Control,start,"2017-04-11 12:39:36"
62284,Test,step_2,"2017-04-05 13:41:58"
62498,Control,start,"2017-04-02 10:33:17"
62503,Control,start,"2017-04-09 21:23:31"
62754,Test,confirm,"2017-04-05 12:06:49"
62791,Test,confirm,"2017-04-03 20:14:07"
62805,Test,confirm,"2017-04-05 12:02:15"
62837,Control,step_1,"2017-04-19 20:27:48"
63001,Control,step_2,"2017-04-13 15:51:33"
63377,Control,confirm,"2017-04-23 10:03:44"
63507,Test,confirm,"2017-04-13 20:05:05"
63796,Test,confirm,"2017-03-29 12:43:37"
63879,Test,confirm,"2017-03-29 18:48:29"
64020,Control,confirm,"2017-04-12 16:58:33"
64058,Test,confirm,"2017-03-29 11:16:32"
64964,Control,confirm,"2017-04-03 17:52:38"
65221,Test,confirm,"2017-04-06 18:29:47"
65845,Control,confirm,"2017-04-02 18:13:30"
66160,Test,confirm,"2017-04-12 19:04:11"
66169,Control,confirm,"2017-04-10 12:04:27"
66539,Test,confirm,"2017-04-12 11:13:58"
66543,Control,start,"2017-03-29 12:07:43"
67452,Test,confirm,"2017-04-07 08:09:44"
67845,Test,step_1,"2017-03-29 15:21:38"
67925,Test,confirm,"2017-03-29 17:34:53"
68116,Control,start,"2017-03-29 21:05:22"
68276,Test,confirm,"2017-04-14 08:31:31"
68830,Control,confirm,"2017-04-06 09:30:24"
68854,Control,confirm,"2017-04-19 11:03:20"
68884,Test,start,"2017-04-13 13:04:13"
68886,Test,confirm,"2017-03-30 14:36:24"
68963,Control,start,"2017-04-05 18:39:01"
69255,Control,confirm,"2017-04-05 14:46:14"
69591,Test,start,"2017-04-02 18:15:56"
70225,Control,step_3,"2017-04-02 15:02:50"
70576,Test,step_3,"2017-04-10 21:44:08"
71159,Test,start,"2017-04-09 13:04:56"
71296,Control,confirm,"2017-03-20 13:49:09"
71476,Control,start,"2017-04-07 07:10:09"
71626,Control,step_3,"2017-03-24 15:14:11"
72074,Test,start,"2017-03-31 10:27:22"
72221,Control,confirm,"2017-04-06 05:37:02"
72388,Test,step_3,"2017-04-13 14:25:18"
72915,Test,confirm,"2017-03-29 14:31:28"
72916,Test,confirm,"2017-03-29 20:25:10"
73331,Control,confirm,"2017-03-29 12:05:56"
73453,Control,confirm,"2017-04-05 23:42:33"
73648,Test,confirm,"2017-04-03 21:26:06"
73910,Control,confirm,"2017-03-30 15:30:03"
74169,Control,start,"2017-04-09 18:29:07"
74976,Test,confirm,"2017-04-26 20:32:18"
75033,Test,confirm,"2017-04-05 16:47:44"
75381,Control,step_1,"2017-03-29 12:07:18"
75490,Test,confirm,"2017-04-02 22:20:07"
75642,Control,confirm,"2017-03-29 14:36:02"
76424,Control,confirm,"2017-03-29 12:23:08"
76481,Test,start,"2017-04-05 18:11:41"
76775,Test,step_1,"2017-03-30 12:38:08"
76776,Control,step_3,"2017-03-29 18:17:30"
77071,Control,confirm,"2017-04-05 19:30:16"
77276,Test,confirm,"2017-03-29 18:48:35"
77513,Test,confirm,"2017-03-30 12:40:20"
77651,Test,confirm,"2017-04-26 21:58:55"
77933,Test,confirm,"2017-04-01 13:10:52"
78720,Test,start,"2017-04-21 12:20:17"
78728,Control,step_3,"2017-04-09 19:25:46"
78779,Test,start,"2017-04-02 19:03:36"
78917,Control,step_1,"2017-04-19 18:17:28"
79127,Control,confirm,"2017-03-29 06:56:42"
79452,Test,confirm,"2017-04-16 10:58:16"
79669,Test,step_1,"2017-03-29 14:32:40"
79679,Control,confirm,"2017-04-23 10:16:25"
79897,Test,confirm,"2017-04-03 09:08:24"
80006,Test,confirm,"2017-04-20 21:12:21"
80127,Control,step_1,"2017-04-03 12:38:08"
80275,Test,confirm,"2017-04-12 16:36:36"
80479,Test,confirm,"2017-04-25 14:06:56"
80559,Control,confirm,"2017-04-17 14:50:54"
80801,Test,start,"2017-03-22 19:33:51"
81102,Control,confirm,"2017-04-19 15:44:04"
81119,Test,start,"2017-04-05 11:17:28"
81303,Test,confirm,"2017-03-29 13:01:22"
81601,Control,confirm,"2017-04-16 20:45:15"
81720,Test,confirm,"2017-04-18 11:17:23"
81816,Control,step_2,"2017-04-15 20:04:07"
81976,Control,confirm,"2017-04-14 13:02:30"
82206,Test,step_2,"2017-03-29 14:36:58"
82560,Test,start,"2017-04-10 20:55:02"
82566,Control,confirm,"2017-04-07 11:12:54"
82712,Control,start,"2017-04-17 17:40:28"
82772,Test,confirm,"2017-04-06 13:31:31"
82869,Control,confirm,"2017-04-05 11:20:13"
83158,Control,confirm,"2017-04-17 08:52:55"
83447,Control,confirm,"2017-04-02 16:13:57"
83507,Test,confirm,"2017-03-29 12:07:08"
83585,Test,confirm,"2017-04-18 11:00:15"
83683,Control,start,"2017-04-05 11:28:06"
83795,Test,start,"2017-04-16 14:32:06"
84464,Test,confirm,"2017-03-30 22:04:28"
84480,Control,start,"2017-04-06 12:01:57"
84624,Control,confirm,"2017-04-12 11:28:08"
84658,Test,step_2,"2017-04-27 23:09:16"
84976,Test,confirm,"2017-04-14 17:21:29"
85515,Control,step_3,"2017-04-20 16:51:14"
85793,Control,confirm,"2017-04-15 08:12:53"
86035,Test,confirm,"2017-04-10 19:10:24"
86499,Control,confirm,"2017-04-12 13:45:10"
86616,Control,confirm,"2017-03-29 15:54:20"
86699,Control,confirm,"2017-04-19 11:04:39"
86780,Test,start,"2017-04-21 07:55:56"
87162,Control,confirm,"2017-04-05 10:06:38"
87218,Control,step_1,"2017-04-02 11:53:14"
87300,Control,confirm,"2017-04-04 13:07:47"
87424,Test,confirm,"2017-04-20 00:54:10"
87449,Test,confirm,"2017-04-18 20:53:06"
87915,Test,start,"2017-04-05 17:08:44"
88723,Control,start,"2017-04-04 10:54:28"
88759,Control,confirm,"2017-03-31 11:04:35"
88986,Test,step_1,"2017-04-24 20:29:20"
89039,Test,confirm,"2017-04-12 11:52:59"
89052,Control,confirm,"2017-04-12 15:06:00"
89108,Control,confirm,"2017-04-14 15:33:00"
89116,Control,confirm,"2017-04-12 14:11:25"
89604,Test,confirm,"2017-04-05 13:24:28"
89693,Test,confirm,"2017-04-05 11:05:24"
89959,Test,confirm,"2017-04-03 11:12:27"
90360,Test,confirm,"2017-04-05 09:53:33"
90596,Control,step_3,"2017-04-11 16:07:07"
91110,Test,step_3,"2017-04-12 11:20:28"
91254,Test,confirm,"2017-04-09 08:17:29"
91443,Test,confirm,"2017-04-07 14:52:16"
91633,Test,confirm,"2017-04-05 14:32:48"
92066,Test,step_1,"2017-04-09 11:52:06"
92137,Test,step_2,"2017-03-15 11:09:19"
92665,Test,step_3,"2017-04-10 19:52:32"
92864,Test,step_1,"2017-03-29 09:58:19"
93127,Control,start,"2017-04-05 15:27:08"
93137,Test,confirm,"2017-04-12 15:12:02"
93610,Test,confirm,"2017-03-31 01:22:23"
93870,Test,confirm,"2017-04-14 18:20:13"
93915,Test,confirm,"2017-04-12 14:12:12"
94510,Control,step_3,"2017-04-28 07:12:51"
94552,Test,start,"2017-04-10 15:56:46"
94662,Test,start,"2017-04-12 17:02:49"
94778,Control,confirm,"2017-04-12 20:17:41"
94914,Test,start,"2017-04-19 21:00:02"
95035,Test,confirm,"2017-04-19 13:41:52"
95199,Test,confirm,"2017-03-29 11:36:45"
95453,Test,confirm,"2017-03-27 15:14:06"
96190,Test,confirm,"2017-04-12 15:50:44"
96548,Control,step_2,"2017-03-29 11:43:34"
96787,Test,confirm,"2017-04-03 21:00:31"
97147,Test,step_1,"2017-04-06 10:16:55"
97170,Control,step_1,"2017-04-23 20:35:06"
97322,Control,start,"2017-04-12 11:27:13"
97424,Test,confirm,"2017-04-05 11:13:47"
97590,Test,confirm,"2017-04-26 19:33:55"
97723,Control,confirm,"2017-04-08 20:27:21"
98337,Test,confirm,"2017-04-10 13:45:21"
99149,Control,step_3,"2017-04-11 23:22:54"
99208,Test,confirm,"2017-04-23 20:26:06"
99811,Control,confirm,"2017-04-11 23:33:51"
100118,Test,start,"2017-04-15 15:30:47"
100250,Test,confirm,"2017-04-02 16:04:49"
100888,Control,confirm,"2017-04-05 14:05:06"
100940,Test,start,"2017-04-05 14:26:13"
101143,Control,start,"2017-04-19 12:09:56"
101220,Test,start,"2017-04-10 17:04:32"
101246,Control,start,"2017-04-08 18:57:24"
101818,Control,confirm,"2017-04-04 09:07:19"
102859,Control,start,"2017-04-06 10:36:41"
102884,Test,step_2,"2017-04-07 13:10:27"
103515,Control,confirm,"2017-03-24 11:25:51"
103622,Test,confirm,"2017-04-24 13:41:40"
103669,Test,confirm,"2017-04-04 16:06:54"
104190,Test,start,"2017-03-29 11:17:01"
104328,Control,step_1,"2017-04-03 16:42:39"
104643,Test,start,"2017-04-09 21:28:25"
104781,Control,step_2,"2017-04-19 12:42:40"
105007,Control,start,"2017-03-22 11:07:49"
105026,Control,confirm,"2017-03-29 12:29:54"
105360,Control,confirm,"2017-04-06 06:22:42"
106102,Test,start,"2017-04-09 22:39:43"
106137,Test,start,"2017-04-06 20:01:45"
106457,Control,start,"2017-04-04 22:44:01"
106501,Test,confirm,"2017-03-29 17:31:21"
108335,Control,start,"2017-04-17 21:08:55"
108419,Test,confirm,"2017-04-22 21:01:22"
108438,Control,confirm,"2017-04-12 13:22:10"
108892,Test,confirm,"2017-04-04 22:31:00"
109413,Control,step_1,"2017-04-09 12:06:58"
109465,Control,confirm,"2017-04-19 11:09:24"
109662,Test,confirm,"2017-03-30 12:03:17"
109859,Control,start,"2017-03-29 13:49:36"
109932,Control,step_1,"2017-04-13 17:26:40"
110028,Test,confirm,"2017-03-31 17:58:32"
110212,Test,confirm,"2017-04-20 11:45:05"
110288,Test,start,"2017-03-22 12:38:55"
110772,Test,confirm,"2017-04-12 14:32:45"
110890,Control,step_1,"2017-04-09 20:33:47"
111012,Control,step_2,"2017-04-02 21:03:20"
111304,Control,confirm,"2017-04-07 16:30:51"
112766,Test,step_1,"2017-04-19 12:03:27"
113597,Test,step_1,"2017-03-29 20:50:33"
113852,Test,confirm,"2017-04-05 10:09:48"
113903,Test,start,"2017-04-11 17:06:18"
113951,Test,confirm,"2017-04-22 14:54:47"
113964,Test,start,"2017-04-12 08:12:06"
114541,Control,step_3,"2017-03-29 11:16:41"
114542,Test,confirm,"2017-04-05 15:36:52"
114566,Control,confirm,"2017-03-30 09:50:13"
114780,Control,start,"2017-03-30 16:34:41"
115163,Test,confirm,"2017-04-13 12:21:20"
115570,Test,confirm,"2017-04-12 12:46:10"
115597,Control,step_1,"2017-03-29 16:26:47"
115834,Control,start,"2017-04-15 07:52:34"
115839,Test,start,"2017-04-02 15:05:54"
115973,Control,confirm,"2017-04-06 10:10:33"
116248,Test,step_1,"2017-04-05 11:05:52"
116345,Control,confirm,"2017-04-15 08:54:24"
116384,Test,confirm,"2017-03-29 11:36:31"
116505,Control,start,"2017-04-26 15:28:13"
116682,Control,start,"2017-03-29 16:49:39"
117032,Test,start,"2017-03-29 13:07:53"
117276,Test,confirm,"2017-04-05 18:38:48"
117457,Test,confirm,"2017-04-09 09:56:10"
117520,Test,confirm,"2017-04-08 22:05:19"
117916,Test,confirm,"2017-04-05 00:55:28"
117979,Control,confirm,"2017-04-05 12:06:19"
118415,Control,confirm,"2017-04-01 11:38:29"
118446,Test,confirm,"2017-04-07 18:47:07"
118723,Control,step_3,"2017-03-30 17:21:44"
118964,Control,step_2,"2017-03-29 11:53:40"
119006,Test,step_1,"2017-04-15 10:58:08"
119599,Test,start,"2017-04-18 22:06:16"
119634,Test,start,"2017-04-13 15:49:15"
120089,Test,start,"2017-04-16 17:20:14"
120309,Control,confirm,"2017-04-03 14:51:30"
120351,Test,confirm,"2017-04-05 13:26:38"
120660,Test,confirm,"2017-04-20 09:04:07"
120830,Test,confirm,"2017-04-05 21:19:24"
120872,Control,confirm,"2017-03-29 11:50:31"
121029,Test,confirm,"2017-03-31 22:30:40"
121238,Test,confirm,"2017-04-01 21:15:30"
121354,Test,confirm,"2017-03-29 11:21:14"
121536,Test,step_1,"2017-04-12 16:09:34"
122093,Test,step_3,"2017-04-23 12:53:08"
122493,Control,step_1,"2017-04-20 10:24:21"
122526,Test,confirm,"2017-04-03 16:20:11"
122790,Test,confirm,"2017-03-29 12:54:32"
123141,Control,step_3,"2017-04-16 08:54:29"
123311,Test,step_1,"2017-03-16 07:35:04"
123853,Test,start,"2017-04-05 20:28:05"
124572,Control,confirm,"2017-04-02 09:13:08"
124614,Test,confirm,"2017-04-01 11:17:36"
124624,Control,confirm,"2017-03-29 11:51:34"
124916,Control,step_1,"2017-04-08 16:36:25"
125022,Control,confirm,"2017-03-31 13:30:03"
125124,Test,step_2,"2017-03-31 14:42:11"
125273,Control,start,"2017-03-31 23:12:50"
125305,Control,confirm,"2017-03-29 13:11:51"
125679,Control,step_3,"2017-03-29 12:24:35"
125750,Test,step_2,"2017-04-07 00:09:03"
126090,Control,start,"2017-04-05 12:01:01"
126171,Control,confirm,"2017-04-23 13:17:41"
126259,Test,confirm,"2017-03-30 08:35:16"
126285,Control,step_1,"2017-04-18 14:45:25"
126288,Test,confirm,"2017-03-30 10:24:46"
126524,Test,confirm,"2017-04-12 11:11:36"
126758,Test,confirm,"2017-04-12 11:37:29"
126853,Test,confirm,"2017-04-08 09:04:29"
126893,Control,start,"2017-04-05 22:54:14"
127331,Test,step_1,"2017-04-05 20:11:41"
127396,Test,confirm,"2017-04-14 14:24:10"
127825,Test,confirm,"2017-04-12 13:09:56"
128147,Control,start,"2017-04-19 18:02:20"
128230,Test,confirm,"2017-04-05 17:00:59"
128801,Control,step_3,"2017-04-10 11:15:31"
128983,Control,start,"2017-04-12 11:34:19"
129549,Control,start,"2017-04-05 20:38:11"
129659,Control,confirm,"2017-03-15 14:40:33"
130452,Test,confirm,"2017-04-09 11:41:34"
130952,Test,start,"2017-04-05 21:50:25"
131973,Test,start,"2017-03-29 06:54:10"
132547,Control,step_1,"2017-04-03 11:24:14"
133096,Test,confirm,"2017-04-24 22:46:59"
133101,Control,step_3,"2017-03-29 11:13:51"
133340,Test,start,"2017-04-07 13:39:21"
133394,Test,step_2,"2017-04-19 21:01:42"
133471,Control,confirm,"2017-04-15 17:08:39"
133565,Control,start,"2017-04-08 16:22:51"
133631,Control,confirm,"2017-04-06 13:09:42"
133742,Test,confirm,"2017-04-13 12:32:06"
133779,Test,start,"2017-04-05 15:39:12"
134164,Test,start,"2017-03-30 20:03:12"
134282,Test,confirm,"2017-04-12 17:08:39"
134286,Control,start,"2017-04-02 06:55:08"
134582,Control,confirm,"2017-04-16 09:51:01"
134657,Control,confirm,"2017-04-24 00:05:08"
134829,Control,confirm,"2017-04-14 10:04:27"
135254,Test,start,"2017-04-02 19:21:36"
135969,Test,confirm,"2017-04-12 18:59:52"
136138,Control,step_1,"2017-04-10 14:04:52"
136873,Test,start,"2017-04-07 21:58:58"
137016,Test,confirm,"2017-04-19 12:32:25"
137061,Test,confirm,"2017-04-02 12:20:54"
137412,Test,confirm,"2017-03-29 11:41:59"
137555,Test,confirm,"2017-04-17 13:59:48"
137781,Test,step_2,"2017-04-06 01:38:44"
137816,Test,confirm,"2017-03-30 00:40:57"
138002,Test,confirm,"2017-03-29 11:23:30"
138395,Control,start,"2017-04-06 08:12:07"
138741,Test,confirm,"2017-04-02 15:46:47"
138790,Test,confirm,"2017-03-30 08:30:10"
139079,Control,confirm,"2017-04-28 10:27:48"
139808,Test,confirm,"2017-04-05 11:25:23"
139872,Test,step_1,"2017-04-17 15:57:30"
139979,Test,confirm,"2017-04-12 20:28:52"
139996,Test,start,"2017-04-25 10:50:21"
140020,Test,step_1,"2017-03-29 13:47:07"
140116,Control,confirm,"2017-04-20 09:48:18"
140488,Control,step_2,"2017-04-10 21:53:00"
